Garen,Hecarim,Taliyah,Ezreal,Nami,Darius,Nidalee,Karma,Nilah,Leona,8245,100,NA1_4995510985,1983
Nasus,Udyr,Vladimir,Nilah,Nautilus,Nocturne,Yone,Ryze,MissFortune,Braum,4725,100,NA1_4995511031,1402
Rumble,Rengar,Yone,Ezreal,Yuumi,Illaoi,Ivern,Azir,Jinx,Thresh,-6749,200,NA1_4995511225,1862
Jayce,Khazix,Viktor,Irelia,Seraphine,TahmKench,Elise,Ahri,Jinx,Thresh,4824,100,NA1_4995511249,2205
Camille,Sylas,Talon,Tristana,Gragas,Urgot,Tryndamere,Karma,Ezreal,Zac,14833,100,NA1_4995511546,1893
Sion,Hecarim,Brand,Varus,Janna,Aatrox,RekSai,Vladimir,Jinx,Zilean,5563,100,NA1_4995511667,1676
MonkeyKing,Warwick,Tristana,KogMaw,Lulu,Jax,LeeSin,Varus,Syndra,Janna,-13784,200,NA1_4995511776,1232
Riven,Viego,Diana,Draven,Pyke,Gangplank,LeeSin,Lissandra,MonkeyKing,Rell,8531,100,NA1_4995511889,1786
Gwen,Viego,Irelia,Ashe,Nami,Darius,Zyra,Galio,Aphelios,Leona,5963,100,NA1_4995511917,1572
Nasus,Rumble,Yone,Xayah,Janna,Renekton,Nunu,Katarina,Kaisa,Camille,-20280,200,NA1_4995512056,1085
Ornn,JarvanIV,Ezreal,Twitch,Seraphine,Sion,XinZhao,Taliyah,Varus,Ashe,3493,100,NA1_4995512118,1979
KSante,XinZhao,Viktor,Aphelios,Lulu,Ornn,Ekko,Hwei,Caitlyn,Thresh,-17581,200,NA1_4995512288,1431
Irelia,Khazix,TwistedFate,Lucian,Brand,Mordekaiser,Viego,Yone,Nilah,Lux,14112,100,NA1_4995512560,1480
Mordekaiser,Rengar,Zac,Ezreal,Poppy,Aatrox,Nunu,Karma,Vayne,Pyke,2069,100,NA1_4995512615,1468
Riven,Ivern,Fizz,Jhin,Thresh,Renekton,FiddleSticks,Gangplank,Varus,Rakan,12065,100,NA1_4995512960,1321
Urgot,Shyvana,Ahri,Samira,Nautilus,Mordekaiser,Gragas,Talon,Varus,Soraka,14373,100,NA1_4995513187,1452
Aatrox,Karthus,Viktor,Jhin,Nami,MonkeyKing,Evelynn,Corki,Ashe,Soraka,-8547,200,NA1_4995513358,1846
Shen,Urgot,Belveth,Varus,Renata,Kennen,Skarner,Azir,KogMaw,Soraka,10726,100,NA1_4995513688,1872
Kayle,Diana,Yasuo,Ezreal,Braum,Irelia,Kindred,Xayah,Rakan,Galio,-7661,200,NA1_4995513732,1659
Fiora,Graves,Diana,Draven,Nami,Renekton,Vi,Zoe,Varus,Janna,6390,100,NA1_4995513763,1900
Gangplank,Graves,Syndra,Twitch,Nautilus,Yorick,Taliyah,Zed,Kaisa,Renata,-1561,200,NA1_4995513914,2053
Jax,XinZhao,Diana,Smolder,Blitzcrank,Garen,LeeSin,Tristana,Ashe,Seraphine,10624,100,NA1_4995514231,1473
Irelia,LeeSin,Katarina,Varus,Lux,Garen,Khazix,Yone,Caitlyn,Bard,-5803,200,NA1_4995514256,2423
Vayne,Talon,Tristana,Kaisa,Bard,Kennen,RekSai,Fizz,MissFortune,Amumu,11732,100,NA1_4995514494,1411
Skarner,Hecarim,Galio,Kaisa,Rakan,Darius,Evelynn,Hwei,Samira,Leona,8743,100,NA1_4995514618,1751
AurelionSol,Kindred,Anivia,Jhin,Bard,Irelia,Zac,Lissandra,Ashe,Milio,8029,100,NA1_4995514691,917
JarvanIV,Elise,Zoe,Nilah,Nautilus,Warwick,Belveth,Leblanc,Xayah,Alistar,1592,100,NA1_4995514794,1718
Zac,Hecarim,Zilean,Ashe,Soraka,Yorick,Nunu,MonkeyKing,Jhin,Zyra,-9122,200,NA1_4995514879,1601
Trundle,Brand,Hwei,Lucian,Nami,Urgot,Skarner,Malphite,Tristana,Zilean,4798,100,NA1_4995515142,1481
Rengar,Viego,Taliyah,Xayah,Rakan,Garen,LeeSin,Leblanc,Aphelios,TahmKench,-8307,200,NA1_4995515225,1599
Gwen,Kindred,Orianna,Tristana,Nautilus,Yone,Brand,Malphite,Vayne,Senna,10520,100,NA1_4995515370,1414
Sett,Graves,Zoe,Jinx,Ashe,Singed,Hecarim,Ahri,Lucian,Milio,-1307,100,NA1_4995515523,2086
Camille,Fizz,XinZhao,Jinx,Thresh,Ornn,Nidalee,Galio,Yone,Leona,-9639,200,NA1_4995515658,1621
Nidalee,Galio,Sylas,Ashe,Rell,Sett,Khazix,Diana,Jinx,Neeko,-11009,200,NA1_4995515767,1454
Darius,Viego,Ahri,Jhin,Pyke,Sett,Zac,Camille,Vayne,Leona,-2713,200,NA1_4995516099,1888
Volibear,Amumu,Zilean,Lucian,Alistar,Darius,Graves,TwistedFate,Ashe,Braum,-10593,200,NA1_4995516613,1105
Mordekaiser,Vi,Qiyana,Samira,Seraphine,Garen,Skarner,Sylas,Jinx,Rell,8710,100,NA1_4995516630,1937
Camille,Viego,Malzahar,Jinx,Lulu,Fiora,RekSai,Sylas,Draven,Thresh,11116,100,NA1_4995516641,1537
Sion,XinZhao,Akali,Caitlyn,Lulu,Olaf,Nocturne,Irelia,Hwei,Nami,-14574,200,NA1_4995516766,1802
Skarner,Nocturne,Fizz,Smolder,Lux,Tryndamere,Lillia,Zed,Aphelios,Lulu,12442,100,NA1_4995516892,1857
Aatrox,Rammus,Sylas,Smolder,Hwei,Illaoi,Nocturne,Vex,Lucian,Nami,-1278,100,NA1_4995516956,2102
Mordekaiser,Graves,Fizz,Lucian,Nami,Jax,LeeSin,Lux,Jinx,Janna,11083,100,NA1_4995517527,2128
Cassiopeia,XinZhao,Orianna,Jinx,Nautilus,Teemo,Khazix,TwistedFate,Twitch,Lulu,6226,100,NA1_4995517633,1058
Nasus,Viego,Sylas,Lucian,Yuumi,Akshan,MasterYi,Sion,Twitch,Nautilus,-15724,200,NA1_4995517671,1328
Gangplank,Elise,Veigar,Lucian,Milio,KSante,Kindred,Viktor,Jhin,Morgana,-7111,200,NA1_4995517948,1684
Renekton,Kayn,Diana,Jinx,Janna,Kayle,Shaco,Tristana,Zeri,Alistar,5465,100,NA1_4995518108,1964
Teemo,Nunu,Orianna,Ashe,Thresh,Maokai,Kayn,Akshan,Seraphine,Ivern,12206,100,NA1_4995518237,1912
Warwick,Skarner,Katarina,Vayne,Lulu,Gnar,Vi,Ryze,Varus,Karma,-10076,200,NA1_4995518338,1527
Darius,Karthus,AurelionSol,KogMaw,Shaco,Aatrox,Ekko,Yasuo,Jhin,Nautilus,4660,100,NA1_4995518392,1628
Camille,Nidalee,Galio,Draven,Janna,Jax,LeeSin,TwistedFate,Aphelios,Sona,-9790,200,NA1_4995518401,1529
Mordekaiser,Skarner,TwistedFate,Kaisa,Bard,Rumble,Zac,Taliyah,Jinx,Soraka,-6450,200,NA1_4995518567,1733
Shen,Elise,Zed,Lucian,Milio,Camille,FiddleSticks,TwistedFate,MissFortune,Lulu,5287,100,NA1_4995518580,2005
Aatrox,XinZhao,Swain,Ashe,Bard,Fiora,LeeSin,Galio,Samira,Zyra,7366,100,NA1_4995518687,1814
Ornn,Viego,Yasuo,Kaisa,Skarner,KSante,MasterYi,Azir,Ashe,Rakan,-5682,200,NA1_4995518698,1911
Jax,XinZhao,Fizz,Twitch,Pyke,Malphite,RekSai,Ahri,Draven,Nautilus,15039,100,NA1_4995518711,1682
Darius,Belveth,Leblanc,Jhin,Zilean,Quinn,Shyvana,TwistedFate,Zyra,Leona,13997,100,NA1_4995518798,2171
Chogath,Nunu,Darius,Lucian,Blitzcrank,DrMundo,Lillia,TwistedFate,Samira,Nautilus,-10886,200,NA1_4995518854,1200
Renekton,Graves,Malphite,Hwei,Fiora,Skarner,Hecarim,Neeko,Jhin,Sylas,-8087,200,NA1_4995519194,959
